season,league_avg_4in6_per82,avg_rest_days,league_avg_homestand_len,league_avg_roadtrip_len,league_avg_two_game_series_per82,league_avg_b2b_per82,league_avg_miles_per82
2014,13.166666666666666,2.0748971193415637,1.9782508753541868,1.9869794188576662,0.0,19.333333333333332,45231.28313807995
2015,12.4,2.0757201646090535,2.0586122707178705,2.060916711956724,0.0,17.8,44219.3184284738
2016,12.166666666666666,2.074074074074074,2.07487381304601,2.0708007813878386,0.0,16.366666666666667,46022.174769514626
2017,10.133333333333333,2.157201646090535,2.1541977988870236,2.154283653280557,0.03333333333333333,14.433333333333334,45321.34104981691
2018,9.966666666666667,2.157201646090535,2.1262124965789657,2.1301558178688342,0.0,13.266666666666667,44688.57610881817
2019,9.98425925925926,3.6077096300400853,1.9668948546580125,1.9607371350985903,0.0,11.958333333333334,47977.46011150915
2020,11.730555555555554,2.0272300469483566,2.5088666235725063,2.499051928463693,6.377777777777777,17.34907407407407,42280.56619836693
2021,10.366666666666667,2.123456790123457,2.313376965884706,2.315463682487676,1.5333333333333334,14.1,42884.96120233328
2022,11.333333333333334,2.1242798353909467,2.4021466638223603,2.4006791879431195,3.6666666666666665,13.366666666666667,40778.82709310643
2023,11.166666666666666,2.1242798353909467,2.4156058903543425,2.415786303622991,2.7,14.066666666666666,42081.27711631642
