team,wins_from_schedule_total_2019_2023
POR,3.469951003833893
CHI,2.744752279197582
SAC,2.730801030408505
MIL,2.6528158863920344
LAL,2.4061707548132096
GSW,2.018944754921245
LAC,1.3159501013918151
MEM,1.1856610045229368
NOP,0.6464300842411788
MIN,0.6345246543139462
DAL,0.2607856774894113
SAS,-0.029792930479245028
HOU,-0.2358498284767503
UTA,-0.25724543229807395
OKC,-0.2733422784617219
DEN,-0.4236620328832834
MIA,-0.6021661698864702
DET,-0.6214387937422372
ATL,-0.6782470201706392
PHX,-0.8006492427765228
BKN,-0.8788591133777417
TOR,-1.1139334230241613
NYK,-1.2097998352268378
CLE,-1.3894746904705395
PHI,-1.688727749612844
WAS,-1.6910905868726784
CHA,-1.8235471389770983
BOS,-1.8425676499053705
IND,-2.185951607944927
ORL,-2.320441706938615
